m,n,k,time_ext,time_int,max_error
100,100,100,0.1689970493316650,1.6808509826660156E-004,0.000000000000000
250,100,100,0.1363120079040527,3.4213066101074219E-004,0.000000000000000
500,100,100,0.1334738731384277,6.2680244445800781E-004,0.000000000000000
750,100,100,0.1279339790344238,1.1219978332519531E-003,0.000000000000000
1000,100,100,0.1328511238098145,1.4750957489013672E-003,0.000000000000000
1500,100,100,0.1359159946441650,2.1021366119384766E-003,0.000000000000000
2000,100,100,0.1379001140594482,2.6559829711914063E-003,0.000000000000000
3000,100,100,0.1301279067993164,3.9088726043701172E-003,0.000000000000000
5000,100,100,0.1384580135345459,6.1919689178466797E-003,0.000000000000000
100,250,100,0.1266188621520996,2.2101402282714844E-004,0.000000000000000
250,250,100,0.1276729106903076,4.6110153198242188E-004,0.000000000000000
500,250,100,0.1311290264129639,9.3817710876464844E-004,0.000000000000000
750,250,100,0.1287109851837158,1.3089179992675781E-003,0.000000000000000
1000,250,100,0.1306898593902588,1.7960071563720703E-003,0.000000000000000
1500,250,100,0.1359310150146484,2.6628971099853516E-003,0.000000000000000
2000,250,100,0.1308131217956543,3.3071041107177734E-003,0.000000000000000
3000,250,100,0.1374421119689941,4.8069953918457031E-003,0.000000000000000
5000,250,100,0.1354379653930664,7.8370571136474609E-003,0.000000000000000
100,500,100,0.1293671131134033,3.5190582275390625E-004,0.000000000000000
250,500,100,0.1259241104125977,7.3003768920898438E-004,0.000000000000000
500,500,100,0.1304891109466553,1.1742115020751953E-003,0.000000000000000
750,500,100,0.1338000297546387,1.7950534820556641E-003,0.000000000000000
1000,500,100,0.1306998729705811,2.3338794708251953E-003,0.000000000000000
1500,500,100,0.1341071128845215,3.3609867095947266E-003,0.000000000000000
2000,500,100,0.1341669559478760,4.3950080871582031E-003,0.000000000000000
3000,500,100,0.1388731002807617,6.6530704498291016E-003,0.000000000000000
5000,500,100,0.1372990608215332,1.0535001754760742E-002,0.000000000000000
100,750,100,0.1273291110992432,4.4989585876464844E-004,0.000000000000000
250,750,100,0.1296708583831787,8.1992149353027344E-004,0.000000000000000
500,750,100,0.1340520381927490,1.5468597412109375E-003,0.000000000000000
750,750,100,0.1289861202239990,2.0508766174316406E-003,0.000000000000000
1000,750,100,0.1363129615783691,2.7048587799072266E-003,0.000000000000000
1500,750,100,0.1309418678283691,3.7128925323486328E-003,0.000000000000000
2000,750,100,0.1348788738250732,4.9788951873779297E-003,0.000000000000000
3000,750,100,0.1362030506134033,7.2221755981445313E-003,0.000000000000000
5000,750,100,0.1436791419982910,1.2893915176391602E-002,0.000000000000000
100,1000,100,0.1272320747375488,5.7101249694824219E-004,0.000000000000000
250,1000,100,0.1358170509338379,1.0459423065185547E-003,0.000000000000000
500,1000,100,0.1304199695587158,1.7850399017333984E-003,0.000000000000000
750,1000,100,0.1319439411163330,2.6340484619140625E-003,0.000000000000000
1000,1000,100,0.1311721801757813,3.1869411468505859E-003,0.000000000000000
1500,1000,100,0.1364810466766357,5.1550865173339844E-003,0.000000000000000
2000,1000,100,0.1372070312500000,6.3369274139404297E-003,0.000000000000000
3000,1000,100,0.1382989883422852,9.1981887817382813E-003,0.000000000000000
5000,1000,100,0.1418640613555908,1.5347957611083984E-002,0.000000000000000
100,1500,100,0.1272950172424316,8.7404251098632813E-004,0.000000000000000
250,1500,100,0.1271171569824219,1.3380050659179688E-003,0.000000000000000
500,1500,100,0.1330158710479736,2.4280548095703125E-003,0.000000000000000
750,1500,100,0.1302959918975830,3.3578872680664063E-003,0.000000000000000
1000,1500,100,0.1299448013305664,4.3768882751464844E-003,0.000000000000000
1500,1500,100,0.1315331459045410,6.1800479888916016E-003,0.000000000000000
2000,1500,100,0.1369171142578125,8.6820125579833984E-003,0.000000000000000
3000,1500,100,0.1452341079711914,1.3401985168457031E-002,0.000000000000000
5000,1500,100,0.1468749046325684,1.9149065017700195E-002,0.000000000000000
100,2000,100,0.1298308372497559,1.0600090026855469E-003,0.000000000000000
250,2000,100,0.1269240379333496,1.8069744110107422E-003,0.000000000000000
500,2000,100,0.1301810741424561,3.2069683074951172E-003,0.000000000000000
750,2000,100,0.1333489418029785,4.7500133514404297E-003,0.000000000000000
1000,2000,100,0.1388690471649170,6.6921710968017578E-003,0.000000000000000
1500,2000,100,0.1383559703826904,9.3889236450195313E-003,0.000000000000000
2000,2000,100,0.1400940418243408,1.1724948883056641E-002,0.000000000000000
3000,2000,100,0.1440320014953613,1.7349004745483398E-002,0.000000000000000
5000,2000,100,0.1569738388061523,2.8304100036621094E-002,0.000000000000000
100,3000,100,0.1287229061126709,1.4150142669677734E-003,0.000000000000000
250,3000,100,0.1307430267333984,2.3829936981201172E-003,0.000000000000000
500,3000,100,0.1322789192199707,4.1630268096923828E-003,0.000000000000000
750,3000,100,0.1330909729003906,5.9680938720703125E-003,0.000000000000000
1000,3000,100,0.1376209259033203,7.6570510864257813E-003,0.000000000000000
1500,3000,100,0.1403760910034180,1.1608123779296875E-002,0.000000000000000
2000,3000,100,0.1445789337158203,1.5357971191406250E-002,0.000000000000000
3000,3000,100,0.1488790512084961,2.0812988281250000E-002,0.000000000000000
5000,3000,100,0.1673848628997803,3.5633087158203125E-002,0.000000000000000
100,5000,100,0.1284019947052002,2.1979808807373047E-003,0.000000000000000
250,5000,100,0.1333200931549072,3.8290023803710938E-003,0.000000000000000
500,5000,100,0.1355359554290771,6.6080093383789063E-003,0.000000000000000
750,5000,100,0.1381769180297852,9.4959735870361328E-003,0.000000000000000
1000,5000,100,0.1400389671325684,1.2767076492309570E-002,0.000000000000000
1500,5000,100,0.1458230018615723,1.7825841903686523E-002,0.000000000000000
2000,5000,100,0.1528828144073486,2.3242950439453125E-002,0.000000000000000
3000,5000,100,0.1648259162902832,3.4013032913208008E-002,0.000000000000000
5000,5000,100,0.1861031055450439,5.2217960357666016E-002,0.000000000000000
100,100,250,0.1356160640716553,3.3211708068847656E-004,0.000000000000000
250,100,250,0.1287178993225098,7.0881843566894531E-004,0.000000000000000
500,100,250,0.1330859661102295,1.3279914855957031E-003,0.000000000000000
750,100,250,0.1293179988861084,2.3488998413085938E-003,0.000000000000000
1000,100,250,0.1308791637420654,3.0491352081298828E-003,0.000000000000000
1500,100,250,0.1294910907745361,4.3809413909912109E-003,0.000000000000000
2000,100,250,0.1295518875122070,5.5680274963378906E-003,0.000000000000000
3000,100,250,0.1324532032012939,8.2979202270507813E-003,0.000000000000000
5000,100,250,0.1419930458068848,1.3708114624023438E-002,0.000000000000000
100,250,250,0.1389620304107666,4.4894218444824219E-004,0.000000000000000
250,250,250,0.1323688030242920,8.6307525634765625E-004,0.000000000000000
500,250,250,0.1264019012451172,1.9199848175048828E-003,0.000000000000000
750,250,250,0.1331851482391357,2.6779174804687500E-003,0.000000000000000
1000,250,250,0.1339299678802490,3.5791397094726563E-003,0.000000000000000
1500,250,250,0.1317980289459229,5.0320625305175781E-003,0.000000000000000
2000,250,250,0.1339929103851318,6.5770149230957031E-003,0.000000000000000
3000,250,250,0.1378579139709473,9.7420215606689453E-003,0.000000000000000
5000,250,250,0.1433179378509521,1.5779018402099609E-002,0.000000000000000
100,500,250,0.1287970542907715,6.6399574279785156E-004,0.000000000000000
250,500,250,0.1276869773864746,1.2061595916748047E-003,0.000000000000000
500,500,250,0.1320929527282715,1.9910335540771484E-003,0.000000000000000
750,500,250,0.1284790039062500,2.8409957885742188E-003,0.000000000000000
1000,500,250,0.1314070224761963,3.8089752197265625E-003,0.000000000000000
1500,500,250,0.1324801445007324,5.4149627685546875E-003,0.000000000000000
2000,500,250,0.1330540180206299,7.0631504058837891E-003,0.000000000000000
3000,500,250,0.1386051177978516,1.0580062866210938E-002,0.000000000000000
5000,500,250,0.1532959938049316,1.7675161361694336E-002,0.000000000000000
100,750,250,0.1338100433349609,8.6092948913574219E-004,0.000000000000000
250,750,250,0.1288828849792480,1.4300346374511719E-003,0.000000000000000
500,750,250,0.1300139427185059,2.5639533996582031E-003,0.000000000000000
750,750,250,0.1325068473815918,3.4670829772949219E-003,0.000000000000000
1000,750,250,0.1323020458221436,4.4081211090087891E-003,0.000000000000000
1500,750,250,0.1350378990173340,6.4790248870849609E-003,0.000000000000000
2000,750,250,0.1405558586120605,8.4569454193115234E-003,0.000000000000000
3000,750,250,0.1413719654083252,1.2749910354614258E-002,0.000000000000000
5000,750,250,0.1540510654449463,2.0585060119628906E-002,0.000000000000000
100,1000,250,0.1319270133972168,1.1382102966308594E-003,0.000000000000000
250,1000,250,0.1306188106536865,1.8510818481445313E-003,0.000000000000000
500,1000,250,0.1326470375061035,3.1538009643554688E-003,0.000000000000000
750,1000,250,0.1406719684600830,4.5151710510253906E-003,0.000000000000000
1000,1000,250,0.1350879669189453,5.8040618896484375E-003,0.000000000000000
1500,1000,250,0.1353371143341064,8.2709789276123047E-003,0.000000000000000
2000,1000,250,0.1412930488586426,1.0969877243041992E-002,0.000000000000000
3000,1000,250,0.1426689624786377,1.5648126602172852E-002,0.000000000000000
5000,1000,250,0.1535038948059082,2.5715112686157227E-002,0.000000000000000
100,1500,250,0.1288249492645264,1.5320777893066406E-003,0.000000000000000
250,1500,250,0.1294300556182861,2.4728775024414063E-003,0.000000000000000
500,1500,250,0.1300468444824219,3.8249492645263672E-003,0.000000000000000
750,1500,250,0.1321320533752441,5.5310726165771484E-003,0.000000000000000
1000,1500,250,0.1381919384002686,6.7710876464843750E-003,0.000000000000000
1500,1500,250,0.1404490470886230,1.0746002197265625E-002,0.000000000000000
2000,1500,250,0.1431210041046143,1.2974977493286133E-002,0.000000000000000
3000,1500,250,0.1483769416809082,1.9090890884399414E-002,0.000000000000000
5000,1500,250,0.1580278873443604,3.0972957611083984E-002,0.000000000000000
100,2000,250,0.1321430206298828,1.9469261169433594E-003,0.000000000000000
250,2000,250,0.1320788860321045,3.2801628112792969E-003,0.000000000000000
500,2000,250,0.1344649791717529,5.9008598327636719E-003,0.000000000000000
750,2000,250,0.1377460956573486,8.1820487976074219E-003,0.000000000000000
1000,2000,250,0.1435339450836182,1.1353015899658203E-002,0.000000000000000
1500,2000,250,0.1450278759002686,1.6113996505737305E-002,0.000000000000000
2000,2000,250,0.1547889709472656,2.0919084548950195E-002,0.000000000000000
3000,2000,250,0.1653859615325928,3.1752824783325195E-002,0.000000000000000
5000,2000,250,0.1813960075378418,4.9288034439086914E-002,0.000000000000000
100,3000,250,0.1323060989379883,2.6888847351074219E-003,0.000000000000000
250,3000,250,0.1376268863677979,4.3749809265136719E-003,0.000000000000000
500,3000,250,0.1396758556365967,7.3719024658203125E-003,0.000000000000000
750,3000,250,0.1368169784545898,1.0039091110229492E-002,0.000000000000000
1000,3000,250,0.1461400985717773,1.3073921203613281E-002,0.000000000000000
1500,3000,250,0.1513731479644775,1.8627166748046875E-002,0.000000000000000
2000,3000,250,0.1584739685058594,2.4741888046264648E-002,0.000000000000000
3000,3000,250,0.1640670299530029,3.5724878311157227E-002,0.000000000000000
5000,3000,250,0.1882338523864746,6.1521053314208984E-002,0.000000000000000
100,5000,250,0.1336188316345215,4.5418739318847656E-003,0.000000000000000
250,5000,250,0.1362810134887695,6.5209865570068359E-003,0.000000000000000
500,5000,250,0.1388378143310547,1.1111974716186523E-002,0.000000000000000
750,5000,250,0.1440210342407227,1.6084909439086914E-002,0.000000000000000
1000,5000,250,0.1532869338989258,2.1825790405273438E-002,0.000000000000000
1500,5000,250,0.1640729904174805,3.1391143798828125E-002,0.000000000000000
2000,5000,250,0.1640489101409912,3.9054870605468750E-002,0.000000000000000
3000,5000,250,0.1856942176818848,5.6436061859130859E-002,0.000000000000000
5000,5000,250,0.2245459556579590,9.5252037048339844E-002,0.000000000000000
100,100,500,0.1245241165161133,5.9103965759277344E-004,0.000000000000000
250,100,500,0.1281208992004395,1.3189315795898438E-003,0.000000000000000
500,100,500,0.1250929832458496,2.3601055145263672E-003,0.000000000000000
750,100,500,0.1263329982757568,4.2810440063476563E-003,0.000000000000000
1000,100,500,0.1244549751281738,5.5608749389648438E-003,0.000000000000000
1500,100,500,0.1302130222320557,8.8119506835937500E-003,0.000000000000000
2000,100,500,0.1304910182952881,1.0741949081420898E-002,0.000000000000000
3000,100,500,0.1381969451904297,1.5717983245849609E-002,0.000000000000000
5000,100,500,0.1587290763854980,2.6635169982910156E-002,0.000000000000000
100,250,500,0.1337611675262451,7.9393386840820313E-004,0.000000000000000
250,250,500,0.1293518543243408,1.8579959869384766E-003,0.000000000000000
500,250,500,0.1325349807739258,2.8388500213623047E-003,0.000000000000000
750,250,500,0.1354391574859619,4.0628910064697266E-003,0.000000000000000
1000,250,500,0.1387269496917725,5.3601264953613281E-003,0.000000000000000
1500,250,500,0.1370630264282227,7.6079368591308594E-003,0.000000000000000
2000,250,500,0.1398429870605469,1.0106086730957031E-002,0.000000000000000
3000,250,500,0.1420581340789795,1.4525175094604492E-002,0.000000000000000
5000,250,500,0.1530470848083496,2.4456977844238281E-002,0.000000000000000
100,500,500,0.1331410408020020,1.1839866638183594E-003,0.000000000000000
250,500,500,0.1315939426422119,2.0837783813476563E-003,0.000000000000000
500,500,500,0.1323781013488770,3.4759044647216797E-003,0.000000000000000
750,500,500,0.1332569122314453,5.0308704376220703E-003,0.000000000000000
1000,500,500,0.1404969692230225,6.4790248870849609E-003,0.000000000000000
1500,500,500,0.1369960308074951,9.4599723815917969E-003,0.000000000000000
2000,500,500,0.1396269798278809,1.2318849563598633E-002,0.000000000000000
3000,500,500,0.1514611244201660,1.8177032470703125E-002,0.000000000000000
5000,500,500,0.1640238761901855,3.0764102935791016E-002,0.000000000000000
100,750,500,0.1292290687561035,1.4750957489013672E-003,0.000000000000000
250,750,500,0.1307218074798584,2.3541450500488281E-003,0.000000000000000
500,750,500,0.1367130279541016,4.3079853057861328E-003,0.000000000000000
750,750,500,0.1350128650665283,6.1421394348144531E-003,0.000000000000000
1000,750,500,0.1402180194854736,7.7278614044189453E-003,0.000000000000000
1500,750,500,0.1408810615539551,1.1201143264770508E-002,0.000000000000000
2000,750,500,0.1440200805664063,1.4595985412597656E-002,0.000000000000000
3000,750,500,0.1534950733184814,2.2569894790649414E-002,0.000000000000000
5000,750,500,0.1671040058135986,3.5867929458618164E-002,0.000000000000000
100,1000,500,0.1274390220642090,1.8410682678222656E-003,0.000000000000000
250,1000,500,0.1385860443115234,3.1371116638183594E-003,0.000000000000000
500,1000,500,0.1335139274597168,5.3358078002929688E-003,0.000000000000000
750,1000,500,0.1394019126892090,7.5139999389648438E-003,0.000000000000000
1000,1000,500,0.1427230834960938,9.8109245300292969E-003,0.000000000000000
1500,1000,500,0.1434061527252197,1.4486074447631836E-002,0.000000000000000
2000,1000,500,0.1456351280212402,1.8408060073852539E-002,0.000000000000000
3000,1000,500,0.1545488834381104,2.8109073638916016E-002,0.000000000000000
5000,1000,500,0.1750628948211670,4.6021938323974609E-002,0.000000000000000
100,1500,500,0.1293840408325195,2.5568008422851563E-003,0.000000000000000
250,1500,500,0.1307089328765869,4.0369033813476563E-003,0.000000000000000
500,1500,500,0.1341440677642822,6.7050457000732422E-003,0.000000000000000
750,1500,500,0.1381580829620361,9.0999603271484375E-003,0.000000000000000
1000,1500,500,0.1447439193725586,1.1591911315917969E-002,0.000000000000000
1500,1500,500,0.1478760242462158,1.6652107238769531E-002,0.000000000000000
2000,1500,500,0.1505570411682129,2.2184848785400391E-002,0.000000000000000
3000,1500,500,0.1630539894104004,3.1906127929687500E-002,0.000000000000000
5000,1500,500,0.1867401599884033,5.1700830459594727E-002,0.000000000000000
100,2000,500,0.1311221122741699,3.5247802734375000E-003,0.000000000000000
250,2000,500,0.1343400478363037,5.7668685913085938E-003,0.000000000000000
500,2000,500,0.1378269195556641,9.9439620971679688E-003,0.000000000000000
750,2000,500,0.1430981159210205,1.4151096343994141E-002,0.000000000000000
1000,2000,500,0.1469991207122803,1.8207073211669922E-002,0.000000000000000
1500,2000,500,0.1549711227416992,2.6496887207031250E-002,0.000000000000000
2000,2000,500,0.1657240390777588,3.4954071044921875E-002,0.000000000000000
3000,2000,500,0.1828730106353760,5.0112009048461914E-002,0.000000000000000
5000,2000,500,0.2131350040435791,8.3501815795898438E-002,0.000000000000000
100,3000,500,0.1317551136016846,4.8050880432128906E-003,0.000000000000000
250,3000,500,0.1355040073394775,7.0440769195556641E-003,0.000000000000000
500,3000,500,0.1437418460845947,1.1658906936645508E-002,0.000000000000000
750,3000,500,0.1451411247253418,1.6643047332763672E-002,0.000000000000000
1000,3000,500,0.1511878967285156,2.1390914916992188E-002,0.000000000000000
1500,3000,500,0.1604979038238525,3.1522989273071289E-002,0.000000000000000
2000,3000,500,0.1693520545959473,3.9900064468383789E-002,0.000000000000000
3000,3000,500,0.1877801418304443,6.4271926879882813E-002,0.000000000000000
5000,3000,500,0.2250671386718750,0.1101310253143311,0.000000000000000
100,5000,500,0.1275680065155029,6.8888664245605469E-003,0.000000000000000
250,5000,500,0.1344640254974365,1.1207818984985352E-002,0.000000000000000
500,5000,500,0.1463079452514648,1.8260002136230469E-002,0.000000000000000
750,5000,500,0.1598000526428223,2.5938987731933594E-002,0.000000000000000
1000,5000,500,0.1676328182220459,3.3781051635742188E-002,0.000000000000000
1500,5000,500,0.1926810741424561,5.4409027099609375E-002,0.000000000000000
2000,5000,500,0.2141101360321045,8.0443859100341797E-002,0.000000000000000
3000,5000,500,0.2698380947113037,0.1460728645324707,0.000000000000000
5000,5000,500,0.3497471809387207,0.2463719844818115,0.000000000000000
100,100,750,9.7536087036132813E-002,5.7911872863769531E-004,0.000000000000000
250,100,750,9.6216917037963867E-002,1.1689662933349609E-003,0.000000000000000
500,100,750,0.1097209453582764,3.1781196594238281E-003,0.000000000000000
750,100,750,0.1292209625244141,5.4938793182373047E-003,0.000000000000000
1000,100,750,0.1335639953613281,6.8709850311279297E-003,0.000000000000000
1500,100,750,0.1343679428100586,1.0076045989990234E-002,0.000000000000000
2000,100,750,0.1364929676055908,1.2298107147216797E-002,0.000000000000000
3000,100,750,0.1219761371612549,1.4940023422241211E-002,0.000000000000000
5000,100,750,0.1553480625152588,3.1327009201049805E-002,0.000000000000000
100,250,750,0.1291329860687256,1.3248920440673828E-003,0.000000000000000
250,250,750,0.1283981800079346,2.6459693908691406E-003,0.000000000000000
500,250,750,0.1187000274658203,3.3221244812011719E-003,0.000000000000000
750,250,750,0.1333680152893066,5.5379867553710938E-003,0.000000000000000
1000,250,750,0.1358978748321533,7.5709819793701172E-003,0.000000000000000
1500,250,750,0.1164281368255615,6.9060325622558594E-003,0.000000000000000
2000,250,750,0.1256601810455322,1.1574029922485352E-002,0.000000000000000
3000,250,750,0.1466441154479980,2.1532058715820313E-002,0.000000000000000
5000,250,750,0.1660580635070801,3.6181926727294922E-002,0.000000000000000
100,500,750,0.1180868148803711,1.2900829315185547E-003,0.000000000000000
250,500,750,0.1277060508728027,2.8431415557861328E-003,0.000000000000000
500,500,750,0.1352488994598389,5.0377845764160156E-003,0.000000000000000
750,500,750,0.1340699195861816,7.5480937957763672E-003,0.000000000000000
1000,500,750,0.1358289718627930,9.2639923095703125E-003,0.000000000000000
1500,500,750,0.1420841217041016,1.3665914535522461E-002,0.000000000000000
2000,500,750,0.1520159244537354,1.7530202865600586E-002,0.000000000000000
3000,500,750,0.1260190010070801,1.7042160034179688E-002,0.000000000000000
5000,500,750,0.1280391216278076,2.7963161468505859E-002,0.000000000000000
100,750,750,0.1109049320220947,1.4138221740722656E-003,0.000000000000000
250,750,750,0.1034898757934570,2.2809505462646484E-003,0.000000000000000
500,750,750,0.1227052211761475,4.8921108245849609E-003,0.000000000000000
750,750,750,0.1342329978942871,8.6100101470947266E-003,0.000000000000000
1000,750,750,0.1238110065460205,9.4799995422363281E-003,0.000000000000000
1500,750,750,0.1473009586334229,1.6551017761230469E-002,0.000000000000000
2000,750,750,0.1530039310455322,2.0939826965332031E-002,0.000000000000000
3000,750,750,0.1623711585998535,3.1123876571655273E-002,0.000000000000000
5000,750,750,0.1402580738067627,3.4564018249511719E-002,0.000000000000000
100,1000,750,0.1226449012756348,2.7329921722412109E-003,0.000000000000000
250,1000,750,0.1324009895324707,4.3880939483642578E-003,0.000000000000000
500,1000,750,0.1443541049957275,7.4398517608642578E-003,0.000000000000000
750,1000,750,0.1154799461364746,7.7788829803466797E-003,0.000000000000000
1000,1000,750,0.1248450279235840,1.2205123901367188E-002,0.000000000000000
1500,1000,750,0.1502211093902588,1.9865036010742188E-002,0.000000000000000
2000,1000,750,0.1544389724731445,2.6129961013793945E-002,0.000000000000000
3000,1000,750,0.1680910587310791,3.8986921310424805E-002,0.000000000000000
5000,1000,750,0.1942279338836670,6.4280986785888672E-002,0.000000000000000
100,1500,750,0.1322410106658936,3.5791397094726563E-003,0.000000000000000
250,1500,750,0.1233520507812500,5.5918693542480469E-003,0.000000000000000
500,1500,750,0.1385791301727295,9.3832015991210938E-003,0.000000000000000
750,1500,750,0.1417980194091797,1.3126134872436523E-002,0.000000000000000
1000,1500,750,0.1464400291442871,1.6350984573364258E-002,0.000000000000000
1500,1500,750,0.1532940864562988,2.3865938186645508E-002,0.000000000000000
2000,1500,750,0.1635460853576660,3.1677007675170898E-002,0.000000000000000
3000,1500,750,0.1429669857025146,3.6249876022338867E-002,0.000000000000000
5000,1500,750,0.1552920341491699,5.9864997863769531E-002,0.000000000000000
100,2000,750,0.1218979358673096,4.3649673461914063E-003,0.000000000000000
250,2000,750,0.1377990245819092,8.9101791381835938E-003,0.000000000000000
500,2000,750,0.1433320045471191,1.4407157897949219E-002,0.000000000000000
750,2000,750,0.1540582180023193,2.0075082778930664E-002,0.000000000000000
1000,2000,750,0.1592280864715576,2.7161836624145508E-002,0.000000000000000
1500,2000,750,0.1697320938110352,3.8424015045166016E-002,0.000000000000000
2000,2000,750,0.1853151321411133,5.0894021987915039E-002,0.000000000000000
3000,2000,750,0.2030830383300781,7.2439908981323242E-002,0.000000000000000
5000,2000,750,0.2563371658325195,0.1208610534667969,0.000000000000000
100,3000,750,0.1070549488067627,4.6439170837402344E-003,0.000000000000000
250,3000,750,0.1165490150451660,8.1720352172851563E-003,0.000000000000000
500,3000,750,0.1445229053497314,1.6845941543579102E-002,0.000000000000000
750,3000,750,0.1521470546722412,2.3395061492919922E-002,0.000000000000000
1000,3000,750,0.1604609489440918,3.0885934829711914E-002,0.000000000000000
1500,3000,750,0.1786649227142334,4.7607898712158203E-002,0.000000000000000
2000,3000,750,0.1970999240875244,6.3614130020141602E-002,0.000000000000000
3000,3000,750,0.2366220951080322,0.1146268844604492,0.000000000000000
5000,3000,750,0.2903809547424316,0.1970100402832031,0.000000000000000
100,5000,750,9.7974061965942383E-002,6.8900585174560547E-003,0.000000000000000
250,5000,750,0.1263680458068848,1.2641906738281250E-002,0.000000000000000
500,5000,750,0.1460790634155273,2.3119926452636719E-002,0.000000000000000
750,5000,750,0.1551730632781982,3.2886028289794922E-002,0.000000000000000
1000,5000,750,0.1822049617767334,5.1516056060791016E-002,0.000000000000000
1500,5000,750,0.2028808593750000,9.7308158874511719E-002,0.000000000000000
2000,5000,750,0.2715299129486084,0.1484549045562744,0.000000000000000
3000,5000,750,0.3171231746673584,0.2315571308135986,0.000000000000000
5000,5000,750,0.5078539848327637,0.4130291938781738,0.000000000000000
100,100,1000,0.1110939979553223,9.7990036010742188E-004,0.000000000000000
250,100,1000,0.1055610179901123,1.6028881072998047E-003,0.000000000000000
500,100,1000,9.7527980804443359E-002,3.0021667480468750E-003,0.000000000000000
750,100,1000,9.9136114120483398E-002,3.7660598754882813E-003,0.000000000000000
1000,100,1000,9.7316980361938477E-002,4.9130916595458984E-003,0.000000000000000
1500,100,1000,0.1161010265350342,9.8679065704345703E-003,0.000000000000000
2000,100,1000,0.1354720592498779,1.6593933105468750E-002,0.000000000000000
3000,100,1000,0.1479811668395996,2.4595022201538086E-002,0.000000000000000
5000,100,1000,0.1668691635131836,4.0536165237426758E-002,0.000000000000000
100,250,1000,0.1001260280609131,9.8109245300292969E-004,0.000000000000000
250,250,1000,0.1119539737701416,2.3260116577148438E-003,0.000000000000000
500,250,1000,0.1244239807128906,5.2261352539062500E-003,0.000000000000000
750,250,1000,0.1347990036010742,7.5230598449707031E-003,0.000000000000000
1000,250,1000,0.1367049217224121,7.4720382690429688E-003,0.000000000000000
1500,250,1000,0.1357588768005371,1.4272928237915039E-002,0.000000000000000
2000,250,1000,0.1385569572448730,1.5487909317016602E-002,0.000000000000000
3000,250,1000,0.1554849147796631,2.1246910095214844E-002,0.000000000000000
5000,250,1000,0.1631598472595215,3.4962892532348633E-002,0.000000000000000
100,500,1000,0.1282701492309570,2.3820400238037109E-003,0.000000000000000
250,500,1000,0.1192610263824463,3.1108856201171875E-003,0.000000000000000
500,500,1000,0.1378898620605469,6.5400600433349609E-003,0.000000000000000
750,500,1000,0.1278469562530518,9.4120502471923828E-003,0.000000000000000
1000,500,1000,0.1470639705657959,1.2149810791015625E-002,0.000000000000000
1500,500,1000,0.1439349651336670,1.3507127761840820E-002,0.000000000000000
2000,500,1000,0.1370840072631836,1.8235921859741211E-002,0.000000000000000
3000,500,1000,0.1507098674774170,2.8130054473876953E-002,0.000000000000000
5000,500,1000,0.1588909626007080,4.3447017669677734E-002,0.000000000000000
100,750,1000,0.1274309158325195,2.0029544830322266E-003,0.000000000000000
250,750,1000,0.1179220676422119,3.3891201019287109E-003,0.000000000000000
500,750,1000,0.1374979019165039,7.7698230743408203E-003,0.000000000000000
750,750,1000,0.1349279880523682,1.1140108108520508E-002,0.000000000000000
1000,750,1000,0.1485021114349365,1.4039993286132813E-002,0.000000000000000
1500,750,1000,0.1546599864959717,2.0576953887939453E-002,0.000000000000000
2000,750,1000,0.1584069728851318,2.6779174804687500E-002,0.000000000000000
3000,750,1000,0.1695189476013184,3.9391994476318359E-002,0.000000000000000
5000,750,1000,0.2005319595336914,6.4315080642700195E-002,0.000000000000000
100,1000,1000,0.1307389736175537,3.6950111389160156E-003,0.000000000000000
250,1000,1000,0.1348218917846680,5.8999061584472656E-003,0.000000000000000
