m,n,k,tiempo_s
256,8192,256,0.1798450946807861
256,16384,256,0.1573290824890137
256,24576,256,0.1733779907226563
256,32768,256,0.1940958499908447
256,40960,256,0.1853270530700684
256,49152,256,0.2308099269866943
256,57344,256,0.2231078147888184
256,65536,256,0.2455508708953857
256,73728,256,0.2560839653015137
256,81920,256,0.2842011451721191
256,90112,256,0.3056831359863281
256,98304,256,0.3191211223602295
256,106496,256,0.3046820163726807
256,114688,256,0.3345060348510742
256,122880,256,0.3647298812866211
256,131072,256,0.3671650886535645
256,139264,256,0.4223539829254150
256,147456,256,0.3781139850616455
256,155648,256,0.4022979736328125
256,163840,256,0.4248509407043457
256,172032,256,0.4306778907775879
256,180224,256,0.4628930091857910
256,188416,256,0.4788951873779297
256,196608,256,0.4829809665679932
256,204800,256,0.5105719566345215
256,212992,256,0.5903739929199219
256,221184,256,0.5521979331970215
256,229376,256,0.5756909847259521
256,237568,256,0.6107890605926514
256,245760,256,0.6278550624847412
256,253952,256,0.6381330490112305
256,262144,256,0.7064611911773682
256,270336,256,0.6798770427703857
256,278528,256,0.7741219997406006
256,286720,256,0.7108988761901855
256,294912,256,0.7307441234588623
256,303104,256,0.7475149631500244
256,311296,256,0.8001999855041504
256,319488,256,0.8781080245971680
256,327680,256,0.8099031448364258
256,335872,256,0.8243041038513184
256,344064,256,0.8417689800262451
256,352256,256,0.8574230670928955
256,360448,256,0.9464170932769775
256,368640,256,0.9398379325866699
256,376832,256,0.9195108413696289
256,385024,256,0.9433560371398926
256,393216,256,0.9545218944549561
256,401408,256,0.9825429916381836
256,409600,256,0.9961018562316895
256,417792,256,1.098175048828125
256,425984,256,1.031924962997437
256,434176,256,1.057330846786499
256,442368,256,1.083348035812378
256,450560,256,1.162719964981079
256,458752,256,1.112290143966675
256,466944,256,1.232535123825073
256,475136,256,1.089450120925903
256,483328,256,1.179871797561646
256,491520,256,1.191367864608765
256,499712,256,1.222236871719360
256,507904,256,1.217969179153442
256,516096,256,1.267185926437378
256,524288,256,1.265036106109619
256,532480,256,1.303385972976685
256,540672,256,1.305392026901245
256,548864,256,1.336610078811646
256,557056,256,1.356164932250977
256,565248,256,1.379374027252197
256,573440,256,1.395056009292603
256,581632,256,1.422739982604980
256,589824,256,1.427343845367432
256,598016,256,1.454582929611206
256,606208,256,1.465741872787476
256,614400,256,1.498155832290649
256,622592,256,1.515004873275757
256,630784,256,1.539777994155884
256,638976,256,1.565808057785034
256,647168,256,1.570610046386719
256,655360,256,1.576354980468750
256,663552,256,1.611273050308228
256,671744,256,1.643553972244263
256,679936,256,1.658251047134399
256,688128,256,1.667299032211304
256,696320,256,1.693084001541138
256,704512,256,1.711354017257690
256,712704,256,1.792836904525757
256,720896,256,1.745927095413208
256,729088,256,1.741888999938965
256,737280,256,1.738912105560303
256,745472,256,1.893803834915161
256,753664,256,1.810324907302856
256,761856,256,1.826347827911377
256,770048,256,1.853161096572876
256,778240,256,1.928303956985474
256,786432,256,1.900357961654663
256,794624,256,1.939110040664673
256,802816,256,1.968771219253540
256,811008,256,1.946391105651855
256,819200,256,1.968708992004395
256,827392,256,1.977949857711792
256,835584,256,2.077075004577637
256,843776,256,2.017026901245117
256,851968,256,2.041517972946167
256,860160,256,2.061872959136963
256,868352,256,2.082659006118774
256,876544,256,2.266557931900024
256,884736,256,2.009457826614380
256,892928,256,2.143101930618286
256,901120,256,2.179619789123535
256,909312,256,2.174663066864014
256,917504,256,2.185526132583618
256,925696,256,2.198005914688110
256,933888,256,2.289485216140747
256,942080,256,2.272636890411377
256,950272,256,2.254606008529663
256,958464,256,2.288434028625488
256,966656,256,2.321603059768677
256,974848,256,2.322772026062012
256,983040,256,2.340620040893555
256,991232,256,2.235498189926147
256,999424,256,2.366775035858154
256,1007616,256,2.425086975097656
256,1015808,256,2.422878980636597
256,1024000,256,2.441682100296021
256,1032192,256,2.511111974716187
256,1040384,256,2.479401826858521
256,1048576,256,2.492167949676514
256,1056768,256,2.529796123504639
256,1064960,256,2.455739974975586
256,1073152,256,2.573614120483398
256,1081344,256,2.584222078323364
256,1089536,256,2.484510183334351
256,1097728,256,2.601555109024048
256,1105920,256,2.654716014862061
256,1114112,256,2.673996925354004
256,1122304,256,2.645856142044067
256,1130496,256,2.767391204833984
256,1138688,256,2.710175991058350
256,1146880,256,2.744123935699463
256,1155072,256,2.615447044372559
256,1163264,256,2.780542135238647
256,1171456,256,2.768002033233643
256,1179648,256,2.837174892425537
256,1187840,256,2.666603088378906
256,1196032,256,2.884332895278931
256,1204224,256,3.042329072952271
256,1212416,256,2.867828845977783
256,1220608,256,2.918061017990112
256,1228800,256,2.824206113815308
256,1236992,256,2.946738004684448
256,1245184,256,2.976476192474365
256,1253376,256,3.014164209365845
256,1261568,256,2.988103866577148
256,1269760,256,3.043255090713501
256,1277952,256,3.053133010864258
256,1286144,256,3.040204048156738
256,1294336,256,3.101409912109375
256,1302528,256,3.154102087020874
256,1310720,256,3.095080852508545
256,1318912,256,3.149043083190918
256,1327104,256,2.982897996902466
256,1335296,256,3.180822849273682
256,1343488,256,3.157341003417969
256,1351680,256,3.206552028656006
256,1359872,256,3.206721067428589
256,1368064,256,3.265396118164063
256,1376256,256,3.303616046905518
256,1384448,256,3.300194025039673
256,1392640,256,3.327129125595093
256,1400832,256,3.349065065383911
256,1409024,256,3.311202049255371
256,1417216,256,3.327342987060547
256,1425408,256,3.386142015457153
256,1433600,256,3.457455873489380
256,1441792,256,3.428625822067261
256,1449984,256,3.465157985687256
256,1458176,256,3.461680889129639
256,1466368,256,3.476308107376099
256,1474560,256,3.554188966751099
256,1482752,256,3.487787961959839
256,1490944,256,3.526021003723145
256,1499136,256,3.559563159942627
256,1507328,256,3.578688144683838
256,1515520,256,3.578834056854248
256,1523712,256,3.397725105285645
256,1531904,256,3.449827909469604
256,1540096,256,3.641841888427734
256,1548288,256,3.704374790191650
256,1556480,256,3.726606130599976
256,1564672,256,3.679851055145264
256,1572864,256,3.708382844924927
256,1581056,256,3.509207010269165
256,1589248,256,3.764136075973511
256,1597440,256,3.743458986282349
256,1605632,256,3.596332073211670
256,1613824,256,3.649760961532593
256,1622016,256,3.644602060317993
256,1630208,256,3.700846910476685
256,1638400,256,3.701948881149292
256,1646592,256,3.733916997909546
256,1654784,256,3.609574079513550
256,1662976,256,3.948490142822266
256,1671168,256,4.008443117141724
256,1679360,256,3.999867916107178
256,1687552,256,3.985692977905273
256,1695744,256,4.122146844863892
256,1703936,256,4.077711105346680
256,1712128,256,4.058204889297485
256,1720320,256,4.075997114181519
256,1728512,256,4.113923788070679
256,1736704,256,4.111145973205566
256,1744896,256,3.966747999191284
256,1753088,256,4.127104997634888
256,1761280,256,4.170004844665527
256,1769472,256,4.182261943817139
256,1777664,256,4.199708938598633
256,1785856,256,4.195700883865356
256,1794048,256,4.273656129837036
256,1802240,256,4.309970855712891
256,1810432,256,4.417667865753174
256,1818624,256,4.285666942596436
256,1826816,256,4.316832065582275
256,1835008,256,4.301424026489258
256,1843200,256,4.361451148986816
256,1851392,256,4.362086057662964
256,1859584,256,4.558214187622070
256,1867776,256,4.520473003387451
256,1875968,256,4.381579875946045
256,1884160,256,4.477946043014526
256,1892352,256,4.447944879531860
256,1900544,256,4.281152009963989
256,1908736,256,4.514914989471436
256,1916928,256,4.548959016799927
256,1925120,256,4.568452119827271
256,1933312,256,4.520715951919556
256,1941504,256,4.412497043609619
256,1949696,256,4.584220170974731
256,1957888,256,4.647195100784302
256,1966080,256,4.634983062744141
256,1974272,256,4.669579982757568
256,1982464,256,4.670118093490601
256,1990656,256,4.726279973983765
256,1998848,256,4.756621122360229
256,2007040,256,4.510644912719727
256,2015232,256,4.768914937973022
256,2023424,256,4.804575920104980
256,2031616,256,4.813631057739258
256,2039808,256,4.820979833602905
256,2048000,256,5.125546932220459
256,2056192,256,4.877579927444458
256,2064384,256,4.698151111602783
256,2072576,256,4.943701028823853
256,2080768,256,4.862151861190796
256,2088960,256,4.766900062561035
256,2097152,256,4.881319999694824
256,2105344,256,4.957005023956299
256,2113536,256,4.983847141265869
256,2121728,256,5.016147136688232
256,2129920,256,5.066701173782349
256,2138112,256,4.875447034835815
256,2146304,256,4.938568115234375
256,2154496,256,5.100193977355957
256,2162688,256,4.916852951049805
256,2170880,256,5.099279165267944
256,2179072,256,5.125421047210693
256,2187264,256,5.169765949249268
256,2195456,256,5.162775039672852
256,2203648,256,5.249907970428467
256,2211840,256,5.256848096847534
256,2220032,256,5.231968164443970
256,2228224,256,5.266285181045532
256,2236416,256,5.343492031097412
256,2244608,256,4.962457180023193
256,2252800,256,5.388651847839355
256,2260992,256,5.245378971099854
256,2269184,256,5.382622957229614
256,2277376,256,5.329041957855225
256,2285568,256,5.403934001922607
256,2293760,256,5.428587913513184
256,2301952,256,5.424223184585571
256,2310144,256,5.425204992294312
256,2318336,256,5.296948909759521
256,2326528,256,5.513147115707397
256,2334720,256,5.394644975662231
256,2342912,256,5.501924991607666
256,2351104,256,5.561751127243042
256,2359296,256,5.532608985900879
256,2367488,256,5.580612182617188
256,2375680,256,5.557871103286743
256,2383872,256,5.635874032974243
256,2392064,256,5.767433881759644
256,2400256,256,5.430740833282471
256,2408448,256,5.669589042663574
256,2416640,256,5.649426937103271
256,2424832,256,5.681213140487671
256,2433024,256,5.710965156555176
256,2441216,256,5.763033151626587
256,2449408,256,5.552170038223267
256,2457600,256,5.795695066452026
256,2465792,256,5.744467020034790
256,2473984,256,5.568448066711426
256,2482176,256,5.893939971923828
256,2490368,256,5.911478042602539
256,2498560,256,5.909077882766724
256,2506752,256,5.818680047988892
256,2514944,256,5.925621032714844
256,2523136,256,5.911352157592773
256,2531328,256,5.959449052810669
256,2539520,256,6.022291183471680
256,2547712,256,5.955487966537476
256,2555904,256,6.130131959915161
256,2564096,256,6.032867908477783
256,2572288,256,6.017288923263550
256,2580480,256,6.225568056106567
256,2588672,256,6.006431818008423
256,2596864,256,6.115339040756226
256,2605056,256,6.246689081192017
256,2613248,256,5.824259042739868
256,2621440,256,6.204286098480225
256,2629632,256,6.207492828369141
256,2637824,256,5.984121084213257
256,2646016,256,6.202617168426514
256,2654208,256,6.242296934127808
256,2662400,256,6.160527944564819
256,2670592,256,6.303264141082764
256,2678784,256,6.301116943359375
256,2686976,256,6.066938877105713
256,2695168,256,6.283843994140625
256,2703360,256,6.407569169998169
256,2711552,256,6.189200878143311
256,2719744,256,6.924619913101196
256,2727936,256,6.441978931427002
256,2736128,256,6.409730911254883
256,2744320,256,6.244309186935425
256,2752512,256,6.533318042755127
256,2760704,256,6.465445041656494
256,2768896,256,6.253616094589233
256,2777088,256,6.545941114425659
256,2785280,256,6.610713005065918
256,2793472,256,6.578906059265137
256,2801664,256,6.661556005477905
256,2809856,256,6.361016035079956
256,2818048,256,6.583614826202393
256,2826240,256,6.723625183105469
256,2834432,256,6.630887031555176
256,2842624,256,6.733193874359131
256,2850816,256,6.487860918045044
256,2859008,256,6.728458166122437
256,2867200,256,6.748584985733032
256,2875392,256,6.903493881225586
256,2883584,256,6.818537950515747
256,2891776,256,6.526984214782715
256,2899968,256,6.964318037033081
256,2908160,256,6.887861013412476
256,2916352,256,6.820277214050293
256,2924544,256,6.934535026550293
256,2932736,256,6.839928865432739
256,2940928,256,6.779826879501343
256,2949120,256,7.096791982650757
256,2957312,256,6.964756011962891
256,2965504,256,6.988447189331055
256,2973696,256,7.032834768295288
256,2981888,256,7.074460029602051
256,2990080,256,6.947410106658936
256,2998272,256,6.837825059890747
256,3006464,256,7.053499221801758
256,3014656,256,7.089072942733765
256,3022848,256,7.112669944763184
256,3031040,256,7.092514991760254
256,3039232,256,7.072515964508057
256,3047424,256,7.161971807479858
256,3055616,256,7.126852989196777
256,3063808,256,7.228953123092651
256,3072000,256,7.223343849182129
256,3080192,256,6.827591180801392
256,3088384,256,6.983772039413452
256,3096576,256,7.186564922332764
256,3104768,256,7.266458988189697
256,3112960,256,7.318139076232910
256,3121152,256,7.441509962081909
256,3129344,256,7.274948835372925
256,3137536,256,7.382086992263794
256,3145728,256,7.318614006042480
256,3153920,256,7.425734996795654
256,3162112,256,7.450557947158813
256,3170304,256,7.547312974929810
256,3178496,256,7.567078113555908
256,3186688,256,11.11819195747375
256,3194880,256,7.642546892166138
256,3203072,256,8.779490947723389
256,3211264,256,7.447019100189209
256,3219456,256,7.557397842407227
256,3227648,256,8.905982971191406
256,3235840,256,7.595587968826294
256,3244032,256,7.563808917999268
256,3252224,256,7.683086872100830
256,3260416,256,7.666672945022583
256,3268608,256,7.687490940093994
256,3276800,256,7.689490079879761
256,3284992,256,7.732241153717041
256,3293184,256,7.782539844512939
256,3301376,256,7.751750946044922
256,3309568,256,7.915482997894287
256,3317760,256,7.783751010894775
256,3325952,256,7.641314029693604
256,3334144,256,7.652853965759277
256,3342336,256,7.850748062133789
256,3350528,256,7.842183828353882
256,3358720,256,7.954963922500610
256,3366912,256,8.022886037826538
256,3375104,256,7.889909982681274
256,3383296,256,8.161340951919556
256,3391488,256,8.147392034530640
256,3399680,256,7.623478174209595
256,3407872,256,8.025578022003174
256,3416064,256,8.086508035659790
256,3424256,256,8.017306804656982
256,3432448,256,8.027979135513306
256,3440640,256,8.132914066314697
256,3448832,256,7.990005970001221
256,3457024,256,8.444586038589478
256,3465216,256,8.191195964813232
256,3473408,256,8.199791193008423
256,3481600,256,8.292810916900635
256,3489792,256,8.124964952468872
256,3497984,256,7.964031934738159
256,3506176,256,11.34780597686768
256,3514368,256,8.091153144836426
256,3522560,256,7.858121871948242
256,3530752,256,8.338834047317505
256,3538944,256,8.306305885314941
256,3547136,256,8.319889068603516
256,3555328,256,8.287518024444580
256,3563520,256,8.345414876937866
256,3571712,256,8.363477945327759
256,3579904,256,9.693376064300537
256,3588096,256,8.538002014160156
256,3596288,256,8.748658180236816
256,3604480,256,8.395097970962524
256,3612672,256,8.315351009368896
256,3620864,256,8.716864109039307
256,3629056,256,8.635262966156006
256,3637248,256,8.577307939529419
256,3645440,256,8.222368001937866
256,3653632,256,12.26239705085754
256,3661824,256,8.668570041656494
256,3670016,256,8.504420042037964
256,3678208,256,8.660593986511230
256,3686400,256,8.715144872665405
256,3694592,256,8.658504962921143
256,3702784,256,8.737516164779663
256,3710976,256,8.509190082550049
256,3719168,256,8.950685024261475
256,3727360,256,8.915364027023315
256,3735552,256,8.622251033782959
256,3743744,256,8.791670083999634
256,3751936,256,8.856806993484497
256,3760128,256,8.956053972244263
256,3768320,256,8.927513122558594
256,3776512,256,9.005459070205688
256,3784704,256,8.899332046508789
256,3792896,256,8.934950113296509
256,3801088,256,8.555052042007446
256,3809280,256,8.994041919708252
256,3817472,256,9.910068035125732
256,3825664,256,9.133322000503540
256,3833856,256,10.24863815307617
256,3842048,256,8.780020952224731
256,3850240,256,9.053767919540405
256,3858432,256,9.059210062026978
256,3866624,256,9.282567977905273
256,3874816,256,8.680938005447388
256,3883008,256,9.157278060913086
256,3891200,256,8.767894983291626
256,3899392,256,8.798207044601440
256,3907584,256,9.213502168655396
256,3915776,256,10.66724705696106
256,3923968,256,8.917055130004883
256,3932160,256,9.338594198226929
256,3940352,256,9.219104051589966
256,3948544,256,9.316725015640259
256,3956736,256,9.418077945709229
256,3964928,256,9.333515167236328
256,3973120,256,9.300833940505981
256,3981312,256,9.532914161682129
256,3989504,256,9.188003063201904
256,3997696,256,9.444380998611450
256,4005888,256,9.292272806167603
256,4014080,256,9.489771127700806
256,4022272,256,9.222429037094116
256,4030464,256,9.638525009155273
256,4038656,256,9.334157228469849
256,4046848,256,9.641045093536377
256,4055040,256,13.27747106552124
256,4063232,256,9.661288022994995
256,4071424,256,9.697289943695068
256,4079616,256,9.646905183792114
256,4087808,256,9.538173913955688
256,4096000,256,9.650528192520142
256,4104192,256,9.854723930358887
256,4112384,256,9.604130983352661
256,4120576,256,9.182568073272705
256,4128768,256,10.48915314674377
256,4136960,256,9.758204936981201
256,4145152,256,10.25743198394775
256,4153344,256,10.35459995269775
256,4161536,256,9.838829994201660
256,4169728,256,9.559096097946167
256,4177920,256,10.20219492912292
256,4186112,256,9.927638053894043
256,4194304,256,9.304790019989014
256,4202496,256,10.05071711540222
256,4210688,256,9.946567058563232
256,4218880,256,9.527220964431763
256,4227072,256,9.978586196899414
256,4235264,256,9.894921064376831
256,4243456,256,9.684337854385376
256,4251648,256,10.01046490669250
256,4259840,256,10.64202189445496
256,4268032,256,9.620326042175293
256,4276224,256,10.17972493171692
256,4284416,256,9.965387105941772
256,4292608,256,9.540430068969727
256,4300800,256,10.26572179794312
256,4308992,256,10.24418282508850
256,4317184,256,9.756636142730713
256,4325376,256,10.16377592086792
256,4333568,256,10.17453384399414
256,4341760,256,10.17349696159363
256,4349952,256,10.28275394439697
256,4358144,256,10.25736188888550
256,4366336,256,10.31402492523193
256,4374528,256,9.934354066848755
256,4382720,256,10.38119912147522
256,4390912,256,10.48432111740112
256,4399104,256,10.03409409523010
256,4407296,256,10.09293389320374
256,4415488,256,10.33755087852478
256,4423680,256,10.51765203475952
256,4431872,256,10.48920798301697
256,4440064,256,10.31004500389099
256,4448256,256,10.46899795532227
256,4456448,256,10.56350517272949
256,4464640,256,10.43592309951782
256,4472832,256,10.34355998039246
256,4481024,256,10.40563702583313
256,4489216,256,10.50409793853760
256,4497408,256,14.48088598251343
256,4505600,256,10.30714201927185
256,4513792,256,10.63233804702759
256,4521984,256,10.88631796836853
256,4530176,256,12.24024915695190
256,4538368,256,13.89319777488708
256,4546560,256,10.70043802261353
256,4554752,256,10.36037302017212
